"City","Sport","Discipline","Athlete","NOC","Gender","Event","Event_gender","Medal","Year","Country"
"Moscow","Football","Football","ANDREEV, Sergei","URS","Men","football","M","Bronze",1980,NA
"Moscow","Football","Football","BALTACHA, Sergei","URS","Men","football","M","Bronze",1980,NA
"Moscow","Football","Football","BESSONOV, Vladimir","URS","Men","football","M","Bronze",1980,NA
"Moscow","Football","Football","CHELEBADZE, Revaz","URS","Men","football","M","Bronze",1980,NA
"Moscow","Football","Football","CHERENKOV, Fiodor","URS","Men","football","M","Bronze",1980,NA
"Moscow","Football","Football","CHIVADZE, Aleksandr","URS","Men","football","M","Bronze",1980,NA
"Moscow","Football","Football","DASAEV, Rinat","URS","Men","football","M","Bronze",1980,NA
"Moscow","Football","Football","GAVRILOV, Yuri","URS","Men","football","M","Bronze",1980,NA
"Moscow","Football","Football","GAZZAEV, Valeri","URS","Men","football","M","Bronze",1980,NA
"Moscow","Football","Football","KHIDIATULLIN, Vagiz","URS","Men","football","M","Bronze",1980,NA
"Moscow","Football","Football","NIKULIN, Sergei","URS","Men","football","M","Bronze",1980,NA
"Moscow","Football","Football","OGANESIAN, Khoren","URS","Men","football","M","Bronze",1980,NA
"Moscow","Football","Football","PILGUI, Vladimir","URS","Men","football","M","Bronze",1980,NA
"Moscow","Football","Football","PROKOPENKO, Aleksandr","URS","Men","football","M","Bronze",1980,NA
"Moscow","Football","Football","ROMANTSEV, Oleg","URS","Men","football","M","Bronze",1980,NA
"Moscow","Football","Football","SHAVLO, Sergei","URS","Men","football","M","Bronze",1980,NA
"Moscow","Football","Football","SULAKVELIDZE, Tengiz","URS","Men","football","M","Bronze",1980,NA
"Moscow","Football","Football","BERGER, Jan","TCH","Men","football","M","Gold",1980,NA
"Moscow","Football","Football","KUNZO, Frantisek","TCH","Men","football","M","Gold",1980,NA
"Moscow","Football","Football","LICKA, Werner","TCH","Men","football","M","Gold",1980,NA
"Moscow","Football","Football","MACELA, Ludek","TCH","Men","football","M","Gold",1980,NA
"Moscow","Football","Football","MAZURA, Josef","TCH","Men","football","M","Gold",1980,NA
"Moscow","Football","Football","NEMEC, Petr","TCH","Men","football","M","Gold",1980,NA
"Moscow","Football","Football","NETOLICHKA, Jaroslav","TCH","Men","football","M","Gold",1980,NA
"Moscow","Football","Football","POKLUDA, Lubos","TCH","Men","football","M","Gold",1980,NA
"Moscow","Football","Football","RADIMEC, Libor","TCH","Men","football","M","Gold",1980,NA
"Moscow","Football","Football","ROTT, Oldrich","TCH","Men","football","M","Gold",1980,NA
"Moscow","Football","Football","RYGEL, Zdenek","TCH","Men","football","M","Gold",1980,NA
"Moscow","Football","Football","SEMAN, Stanislav","TCH","Men","football","M","Gold",1980,NA
"Moscow","Football","Football","SREINER, Zdenek","TCH","Men","football","M","Gold",1980,NA
"Moscow","Football","Football","STAMBACHR, Frantisek","TCH","Men","football","M","Gold",1980,NA
"Moscow","Football","Football","SVOBODA, Jindrich","TCH","Men","football","M","Gold",1980,NA
"Moscow","Football","Football","VACLAVICEK, Rostislav","TCH","Men","football","M","Gold",1980,NA
